Drug,Brand name,Species,Use,Notes,Source URL
Activated Charcoal Paste (Canada),,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",For Veterinary Use Only,https://www.drugs.com/vet/activated-charcoal-paste-can.html
Activated Charcoal Suspension,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/activated-charcoal-suspension.html
Activated Charcoal Suspension with Sorbitol,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/activated-charcoal-suspension-with-sorbitol.html
Activated Clay Gel,,"Dog, Cat, Horse, Cattle, Sheep, Goat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/activated-clay-gel.html
Active Again,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/active-again.html
Activon Tube (Canada),,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Grey Wolf Animal Health Inc., Toronto, ON M5E 1B5",https://www.drugs.com/vet/activon-tube-can.html
Adams 3-Way Ointment for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-3-way-ointment-for-dogs.html
Adams Carpet Powder,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-carpet-powder.html
Adams Ear Mite Treatment,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-ear-mite-treatment.html
Adams Flea & Tick Cleansing Shampoo,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-cleansing-shampoo.html
Adams Flea & Tick Collar for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-collar-for-dogs.html
Adams Flea & Tick Control Collar for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-control-collar-for-dogs.html
Adams Flea & Tick Dip for Dogs & Cats,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-dip-for-dogs-cats.html
Adams Flea & Tick Home & Carpet Spray,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-home-carpet-spray.html
Adams Flea & Tick Home Spray,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-home-spray.html
Adams Flea & Tick Indoor Fogger,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-indoor-fogger.html
Adams Flea & Tick Spot On for Extra Large Dogs/Puppies (81 lbs and Over) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-extra-large-dogs-puppies-81-lbs-and-over-refill-pack.html
Adams Flea & Tick Spot On for Large Dogs/Puppies (56-80 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-large-dogs-puppies-56-80-lbs-refill-pack.html
Adams Flea & Tick Spot On for Medium Dogs/Puppies (32-55 lbs),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-medium-dogs-puppies-32-55-lbs.html
Adams Flea & Tick Spot On for Medium Dogs/Puppies (32-55 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-medium-dogs-puppies-32-55-lbs-refill-pack.html
Adams Flea & Tick Spot On for Small Dogs/Puppies (13-31 lbs),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-small-dogs-puppies-13-31-lbs.html
Adams Flea & Tick Spot On for Small Dogs/Puppies (13-31 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-small-dogs-puppies-13-31-lbs-refill-pack.html
Adams Flea & Tick Spot On for Toy Dogs/Puppies (6-12 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-flea-tick-spot-on-for-toy-dogs-puppies-6-12-lbs-refill-pack.html
Adams Flea & Tick Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-flea-tick-spray.html
Adams Medicated Hot Spot & Itch Relief Spray for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-medicated-hot-spot-itch-relief-spray-for-dogs.html
Adams Medicated Shampoo & Conditioner for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-medicated-shampoo-conditioner-for-dogs.html
Adams Plus Flea & Tick Carpet Spray,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-carpet-spray.html
Adams Plus Flea & Tick Collar for Dogs Large,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-collar-for-dogs-large.html
Adams Plus Flea & Tick Collar for Dogs Small,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-collar-for-dogs-small.html
Adams Plus Flea & Tick Indoor Fogger,,"Dog, Cat, Bird","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-indoor-fogger.html
Adams Plus Flea & Tick Shampoo with Precor,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-shampoo-with-precor.html
Adams Plus Flea & Tick Spot On For Dogs (15-30 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-15-30-lbs-refill-pack.html
Adams Plus Flea & Tick Spot On For Dogs (15-30 lbs) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-15-30-lbs-with-reusable-applicator.html
Adams Plus Flea & Tick Spot On For Dogs (31-60 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-31-60-lbs-refill-pack.html
Adams Plus Flea & Tick Spot On For Dogs (31-60 lbs) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-31-60-lbs-with-reusable-applicator.html
Adams Plus Flea & Tick Spot On For Dogs (5-14 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-5-14-lbs-refill-pack.html
Adams Plus Flea & Tick Spot On For Dogs (5-14 lbs) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-5-14-lbs-with-reusable-applicator.html
Adams Plus Flea & Tick Spot On For Dogs (61-150 lbs) (Refill Pack),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-61-150-lbs-refill-pack.html
Adams Plus Flea & Tick Spot On For Dogs (61-150 lbs) with Reusable Applicator,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",DO NOT USE ON CATS,https://www.drugs.com/vet/adams-plus-flea-tick-spot-on-for-dogs-61-150-lbs-with-reusable-applicator.html
Adams Plus Flea & Tick Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-flea-tick-spray.html
Adams Plus Pyrethrin Dip,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-pyrethrin-dip.html
Adams Plus Yard Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-plus-yard-spray.html
Adams Yard & Garden Spray,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adams-yard-garden-spray.html
Adapt-VM (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adapt-vm-can.html
Adaptil Calm Collar (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adaptil-calm-collar-can.html
Adaptil Calm Diffuser (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adaptil-calm-diffuser-can.html
Adaptil Collar,,"Dog, Cat","ADAPTIL ® Collar helps control or prevent stress in puppies and adult dogs, helping them to deal with challenging situations such as:",,https://www.drugs.com/vet/adaptil-collar.html
Adaptil Diffuser,,"Dog, Cat, Bird",ADAPTIL ® Diffuser contains D.A.P.® which offers a natural and convenient way to help manage stress-related behaviors in your dog during:,,https://www.drugs.com/vet/adaptil-diffuser.html
Adaptil Spray,,"Dog, Cat","ADAPTIL ® Spray contains D.A.P. ® which can help control or prevent stress in puppies and adult dogs, helping them to deal with challenging situations such as:",,https://www.drugs.com/vet/adaptil-spray.html
Adaptil Transport Spray (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/adaptil-transport-spray-can.html
Adequan Canine,,"Dog, Cat, Horse, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","The following adverse events are based on voluntary, post-approval reporting. Not all adverse reactions are reported to FDA/CVM. It is not always possible to reliably estimate the adverse event frequency or establish a causal relationship to product exposure using these data. The signs reported are listed in decreasing order of reporting frequency.",https://www.drugs.com/vet/adequan-canine.html
Adequan Canine (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","* Very rare: less than 1 animal in 10,000 animals (reporting rate: < 1).",https://www.drugs.com/vet/adequan-canine-can.html
Adiva Hepatic Dog,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Always work with your veterinarian for your animal’s optimal health and well-being.,https://www.drugs.com/vet/adiva-hepatic-dog.html
Adroitin-M Chewables,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Consult with your veterinarian before using this product in animals with clotting disorders, being treated with anticoagulant medications, diabetes, or any metabolic disorder causing hyperglycemia, history of urinary tract stones, known allergies to shellfish.",https://www.drugs.com/vet/adroitin-m-chewables.html
Adroitin-M Soft Chews,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Questions? 1-800-999-0297,https://www.drugs.com/vet/adroitin-m-soft-chews.html
Advanced Calm (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/advanced-calm-can.html
Advanced Conditioning Treatment,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/advanced-conditioning-treatment.html
